checkout_id,cart_id,user_id,checkout_started,completed_checkout
1,1.0,1.0,1,1
2,2.0,1.0,1,1
3,3.0,1.0,1,0
4,4.0,1.0,1,0
5,5.0,1.0,1,0
6,6.0,1.0,1,1
7,7.0,1.0,1,0
8,9.0,2.0,1,1
9,10.0,2.0,1,0
10,11.0,2.0,1,0
11,13.0,2.0,1,1
12,14.0,3.0,1,1
13,15.0,3.0,1,0
14,19.0,4.0,1,1
15,20.0,4.0,1,0
16,21.0,4.0,1,0
17,22.0,6.0,1,0
18,23.0,6.0,1,1
19,24.0,6.0,1,1
20,25.0,6.0,1,1
21,27.0,6.0,1,0
22,28.0,6.0,1,0
23,29.0,6.0,1,0
24,32.0,7.0,1,1
25,33.0,8.0,1,1
26,34.0,9.0,1,0
27,35.0,10.0,1,1
28,36.0,10.0,1,1
29,37.0,10.0,1,0
30,38.0,11.0,1,0
31,40.0,12.0,1,0
32,41.0,12.0,1,1
33,42.0,12.0,1,1
34,44.0,12.0,1,0
35,45.0,12.0,1,0
36,46.0,13.0,1,1
37,48.0,13.0,1,0
38,50.0,13.0,1,0
39,51.0,14.0,1,1
40,52.0,14.0,1,0
41,53.0,14.0,1,0
42,54.0,14.0,1,0
43,55.0,17.0,1,0
44,56.0,17.0,1,0
45,58.0,18.0,1,0
46,59.0,19.0,1,0
47,60.0,20.0,1,1
48,61.0,20.0,1,0
49,62.0,21.0,1,0
50,63.0,21.0,1,1
51,64.0,21.0,1,0
52,65.0,21.0,1,1
53,66.0,21.0,1,0
54,67.0,21.0,1,0
55,68.0,21.0,1,0
56,69.0,21.0,1,0
57,71.0,21.0,1,0
58,73.0,22.0,1,1
59,74.0,22.0,1,1
60,75.0,22.0,1,1
61,76.0,22.0,1,0
62,77.0,22.0,1,0
63,78.0,24.0,1,1
64,79.0,24.0,1,0
65,80.0,24.0,1,1
66,81.0,24.0,1,0
67,83.0,24.0,1,0
68,85.0,24.0,1,0
69,86.0,24.0,1,0
70,88.0,25.0,1,1
71,90.0,26.0,1,0
72,91.0,26.0,1,0
73,92.0,27.0,1,1
74,96.0,27.0,1,0
75,97.0,27.0,1,0
76,100.0,28.0,1,1
77,102.0,28.0,1,1
78,103.0,28.0,1,1
79,104.0,29.0,1,0
80,105.0,30.0,1,0
81,109.0,32.0,1,0
82,110.0,32.0,1,1
83,111.0,33.0,1,0
84,112.0,33.0,1,0
85,113.0,33.0,1,1
86,117.0,34.0,1,0
87,118.0,34.0,1,1
88,119.0,34.0,1,1
89,120.0,34.0,1,0
90,122.0,35.0,1,1
91,123.0,35.0,1,0
92,124.0,35.0,1,1
93,125.0,35.0,1,0
94,126.0,36.0,1,1
95,127.0,37.0,1,0
96,128.0,37.0,1,1
97,129.0,37.0,1,1
98,131.0,37.0,1,0
99,132.0,37.0,1,1
100,134.0,38.0,1,0
101,136.0,38.0,1,1
102,137.0,38.0,1,0
103,138.0,38.0,1,1
104,139.0,39.0,1,0
105,140.0,40.0,1,0
106,141.0,40.0,1,0
107,143.0,41.0,1,0
108,145.0,41.0,1,0
109,146.0,42.0,1,0
110,147.0,42.0,1,1
111,148.0,42.0,1,1
112,150.0,43.0,1,0
113,154.0,44.0,1,0
114,156.0,45.0,1,1
115,157.0,45.0,1,0
116,158.0,45.0,1,0
117,159.0,46.0,1,0
118,160.0,46.0,1,0
119,161.0,46.0,1,0
120,162.0,47.0,1,0
121,164.0,47.0,1,0
122,166.0,47.0,1,1
123,167.0,48.0,1,0
124,168.0,48.0,1,0
125,169.0,48.0,1,0
126,170.0,48.0,1,1
127,173.0,49.0,1,1
128,174.0,49.0,1,1
129,175.0,49.0,1,1
130,176.0,51.0,1,1
131,177.0,51.0,1,0
132,178.0,51.0,1,1
133,179.0,51.0,1,1
134,181.0,51.0,1,1
135,182.0,51.0,1,0
136,183.0,52.0,1,1
137,184.0,52.0,1,1
138,185.0,53.0,1,0
139,186.0,54.0,1,0
140,188.0,54.0,1,0
141,189.0,55.0,1,0
142,190.0,55.0,1,0
143,191.0,57.0,1,0
144,192.0,57.0,1,1
145,193.0,57.0,1,1
146,194.0,57.0,1,0
147,195.0,57.0,1,0
148,196.0,58.0,1,0
149,197.0,58.0,1,1
150,198.0,58.0,1,0
151,199.0,58.0,1,0
152,200.0,59.0,1,0
153,203.0,60.0,1,1
154,204.0,61.0,1,0
155,205.0,61.0,1,0
156,206.0,61.0,1,0
157,208.0,61.0,1,0
158,209.0,62.0,1,0
159,210.0,63.0,1,1
160,212.0,63.0,1,1
161,214.0,63.0,1,0
162,215.0,63.0,1,0
163,216.0,63.0,1,0
164,217.0,63.0,1,0
165,220.0,64.0,1,0
166,221.0,64.0,1,1
167,223.0,65.0,1,0
168,224.0,65.0,1,1
169,225.0,65.0,1,1
170,226.0,65.0,1,0
171,227.0,66.0,1,0
172,228.0,67.0,1,1
173,229.0,67.0,1,0
174,230.0,68.0,1,0
175,231.0,69.0,1,0
176,233.0,69.0,1,0
177,234.0,69.0,1,0
178,235.0,70.0,1,1
179,236.0,70.0,1,0
180,238.0,72.0,1,0
181,241.0,74.0,1,0
182,242.0,74.0,1,0
183,243.0,75.0,1,0
184,244.0,75.0,1,1
185,245.0,76.0,1,1
186,246.0,76.0,1,0
187,247.0,77.0,1,0
188,248.0,77.0,1,1
189,249.0,77.0,1,0
190,250.0,77.0,1,0
191,252.0,78.0,1,0
192,253.0,79.0,1,0
193,254.0,79.0,1,1
194,255.0,79.0,1,0
195,256.0,79.0,1,0
196,257.0,79.0,1,0
197,258.0,79.0,1,0
198,262.0,80.0,1,0
199,264.0,81.0,1,1
200,265.0,81.0,1,0
201,267.0,81.0,1,1
202,268.0,82.0,1,0
203,269.0,82.0,1,1
204,272.0,82.0,1,0
205,273.0,82.0,1,0
206,274.0,82.0,1,0
207,275.0,82.0,1,0
208,276.0,83.0,1,1
209,277.0,83.0,1,1
210,279.0,83.0,1,0
211,280.0,83.0,1,0
212,282.0,83.0,1,1
213,283.0,85.0,1,1
214,284.0,85.0,1,1
215,285.0,85.0,1,0
216,286.0,85.0,1,0
217,287.0,85.0,1,0
218,288.0,85.0,1,0
219,289.0,85.0,1,1
220,290.0,85.0,1,0
221,291.0,86.0,1,1
222,292.0,87.0,1,0
223,294.0,88.0,1,1
224,296.0,89.0,1,0
225,299.0,89.0,1,0
226,300.0,90.0,1,0
227,301.0,91.0,1,0
228,302.0,92.0,1,0
229,304.0,92.0,1,0
230,305.0,93.0,1,0
231,306.0,93.0,1,1
232,307.0,93.0,1,0
233,308.0,93.0,1,0
234,309.0,94.0,1,1
235,310.0,94.0,1,0
236,311.0,94.0,1,0
237,315.0,96.0,1,0
238,319.0,97.0,1,0
239,321.0,97.0,1,1
