cart_id,session_id,user_id,cart_value,items
1,3,1,319.08,5
2,4,1,335.76,3
3,5,1,295.32,7
4,8,1,330.18,9
5,9,1,183.3,8
6,11,1,283.48,7
7,12,1,347.72,7
8,13,1,256.54,7
9,15,2,355.01,1
10,16,2,505.87,3
11,17,2,216.08,5
12,18,2,155.05,11
13,20,2,428.53,7
14,21,3,508.38,9
15,22,3,353.41,2
16,24,3,320.57,7
17,25,4,261.91,12
18,30,4,368.53,3
19,31,4,318.61,2
20,33,4,396.44,1
21,34,4,165.85,11
22,38,6,349.43,11
23,39,6,244.93,12
24,40,6,405.26,1
25,41,6,216.95,1
26,42,6,376.66,10
27,43,6,267.61,11
28,46,6,280.87,9
29,48,6,396.47,8
30,49,6,248.33,6
31,50,7,184.92,10
32,51,7,326.54,10
33,52,8,260.5,8
34,55,9,196.65,1
35,59,10,351.51,6
36,60,10,346.1,8
37,61,10,330.52,6
38,62,11,365.69,12
39,63,11,140.45,12
40,64,12,251.32,1
41,65,12,344.98,4
42,66,12,413.25,1
43,69,12,341.59,6
44,70,12,425.15,12
45,71,12,259.05,7
46,75,13,264.69,11
47,79,13,286.55,1
48,81,13,312.56,3
49,83,13,160.24,11
50,85,13,318.11,9
51,86,14,316.91,3
52,87,14,264.83,9
53,89,14,250.81,5
54,90,14,344.44,10
55,95,17,373.03,1
56,96,17,333.0,1
57,100,18,332.84,3
58,102,18,316.71,1
59,104,19,321.38,6
60,111,20,381.26,6
61,112,20,465.92,6
62,113,21,454.35,2
63,114,21,222.47,10
64,115,21,130.01,12
65,116,21,367.74,1
66,118,21,321.92,9
67,120,21,314.59,9
68,123,21,354.28,4
69,124,21,298.0,8
70,125,21,174.24,4
71,126,21,217.23,7
72,128,22,222.74,9
73,129,22,380.0,4
74,130,22,489.72,12
75,131,22,277.72,3
76,132,22,554.11,4
77,134,22,149.32,1
78,139,24,274.3,3
79,140,24,336.5,11
80,141,24,90.32,11
81,142,24,456.99,6
82,143,24,257.73,4
83,144,24,323.03,9
84,146,24,360.34,3
85,148,24,176.81,11
86,150,24,538.91,1
87,152,24,332.03,3
88,154,25,289.35,1
89,155,25,220.01,1
90,157,26,338.43,10
91,158,26,178.17,1
92,163,27,332.53,7
93,165,27,445.7,12
94,166,27,424.87,2
95,170,27,270.0,8
96,171,27,294.95,12
97,172,27,368.73,5
98,176,27,426.38,12
99,178,28,457.97,9
100,179,28,466.66,9
101,181,28,236.03,6
102,182,28,387.78,12
103,183,28,195.49,10
104,185,29,278.31,7
105,188,30,214.31,6
106,189,31,216.21,2
107,191,32,341.78,5
108,192,32,257.73,10
109,195,32,345.8,5
110,197,32,211.21,2
111,200,33,363.56,12
112,202,33,281.28,9
113,203,33,293.75,3
114,204,33,202.96,10
115,205,33,411.71,5
116,208,34,332.64,10
117,209,34,368.58,9
118,211,34,205.11,12
119,213,34,380.81,8
120,215,34,323.7,10
121,219,35,275.36,8
122,220,35,443.92,2
123,222,35,356.8,10
124,223,35,360.73,1
125,226,35,143.16,4
126,227,36,417.31,9
127,230,37,360.28,2
128,231,37,431.39,2
129,232,37,266.66,1
130,233,37,255.8,7
131,235,37,465.34,5
132,236,37,406.26,8
133,237,38,191.43,7
134,238,38,321.46,3
135,239,38,412.04,7
136,240,38,336.01,12
137,242,38,270.51,5
138,243,38,259.81,12
139,244,39,325.79,3
140,250,40,411.91,5
141,251,40,230.42,9
142,252,41,127.91,9
143,254,41,283.5,4
144,258,41,360.51,9
145,260,41,380.47,5
146,263,42,228.76,11
147,264,42,344.27,6
148,265,42,262.53,7
149,266,43,386.2,4
150,267,43,308.13,4
151,268,43,395.45,8
152,270,44,326.06,12
153,271,44,365.0,6
154,273,44,280.16,11
155,274,45,256.1,7
156,275,45,294.4,2
157,278,45,375.5,5
158,280,45,547.17,10
159,283,46,433.41,10
160,284,46,456.8,3
161,288,46,310.58,10
162,291,47,271.69,5
163,293,47,121.67,8
164,297,47,266.17,1
165,298,47,195.85,10
166,299,47,389.18,3
167,304,48,302.29,3
168,305,48,201.22,8
169,309,48,369.2,7
170,310,48,348.52,1
171,311,49,217.97,3
172,312,49,456.19,6
173,313,49,252.26,8
174,314,49,373.69,11
175,315,49,308.76,9
176,317,51,468.26,7
177,318,51,402.91,10
178,322,51,221.16,3
179,324,51,483.77,8
180,325,51,205.99,11
181,326,51,224.66,7
182,329,51,466.11,2
183,330,52,317.52,11
184,331,52,348.09,10
185,337,53,358.07,12
186,345,54,223.1,12
187,347,54,489.25,5
188,350,54,517.5,7
189,351,55,151.84,12
190,352,55,279.51,9
191,358,57,381.19,9
192,359,57,309.94,12
193,360,57,271.1,1
194,362,57,370.57,1
195,363,57,379.37,6
196,365,58,472.28,9
197,367,58,163.92,9
198,368,58,229.24,10
199,372,58,252.14,4
200,373,59,535.71,5
201,374,59,455.9,7
