order_id,user_id,checkout_id,order_value,delivery_fee,coupon_value,cancelled,margin
1,1.0,1.0,319.08,0,0,0,57.43
2,1.0,2.0,335.76,0,0,0,60.44
3,1.0,6.0,313.48,30,0,0,56.43
4,2.0,8.0,355.01,0,0,0,63.9
5,2.0,11.0,378.53,0,50,0,68.14
6,3.0,12.0,508.38,0,0,0,91.51
7,4.0,14.0,298.61,0,20,0,53.75
8,6.0,18.0,274.93,30,0,0,49.49
9,6.0,19.0,405.26,0,0,0,72.95
10,6.0,20.0,246.95,30,0,0,44.45
11,7.0,24.0,326.54,0,0,0,58.78
12,8.0,25.0,240.5,30,50,0,43.29
13,10.0,27.0,331.51,0,20,0,59.67
14,10.0,28.0,296.1,0,50,0,53.3
15,12.0,32.0,324.98,0,20,0,58.5
16,12.0,33.0,413.25,0,0,0,74.38
17,13.0,36.0,244.69,30,50,0,44.04
18,14.0,39.0,316.91,0,0,0,57.04
19,20.0,47.0,381.26,0,0,1,68.63
20,21.0,50.0,232.47,30,20,0,41.84
21,21.0,52.0,367.74,0,0,0,66.19
22,22.0,58.0,380.0,0,0,0,68.4
23,22.0,59.0,489.72,0,0,0,88.15
24,22.0,60.0,307.72,30,0,0,55.39
25,24.0,63.0,304.3,30,0,0,54.77
26,24.0,65.0,100.32,30,20,0,18.06
27,25.0,70.0,319.35,30,0,0,57.48
28,27.0,73.0,312.53,0,20,0,56.26
29,28.0,76.0,416.66,0,50,0,75.0
30,28.0,77.0,337.78,0,50,0,60.8
31,28.0,78.0,205.49,30,20,0,36.99
32,32.0,82.0,241.21,30,0,0,43.42
33,33.0,85.0,323.75,30,0,0,58.28
34,34.0,87.0,215.11,30,20,1,38.72
35,34.0,88.0,380.81,0,0,0,68.55
36,35.0,90.0,393.92,0,50,0,70.91
37,35.0,92.0,340.73,0,20,0,61.33
38,36.0,94.0,417.31,0,0,0,75.12
39,37.0,96.0,381.39,0,50,0,68.65
40,37.0,97.0,296.66,30,0,0,53.4
41,37.0,99.0,406.26,0,0,0,73.13
42,38.0,101.0,336.01,0,0,0,60.48
43,38.0,103.0,289.81,30,0,0,52.17
44,42.0,110.0,324.27,0,20,0,58.37
