order_id,user_id,checkout_id,order_value,delivery_fee,coupon_value,cancelled,margin
1,1,1,319.08,0,0,0,57.43
2,1,2,335.76,0,0,0,60.44
3,1,6,313.48,30,0,0,56.43
4,2,8,355.01,0,0,0,63.9
5,2,11,378.53,0,50,0,68.14
6,3,12,508.38,0,0,0,91.51
7,4,14,298.61,0,20,0,53.75
8,6,18,274.93,30,0,0,49.49
9,6,19,405.26,0,0,0,72.95
10,6,20,246.95,30,0,0,44.45
11,7,24,326.54,0,0,0,58.78
12,8,25,240.5,30,50,0,43.29
13,10,27,331.51,0,20,0,59.67
14,10,28,296.1,0,50,0,53.3
15,12,32,324.98,0,20,0,58.5
16,12,33,413.25,0,0,0,74.38
17,13,36,244.69,30,50,0,44.04
18,14,39,316.91,0,0,0,57.04
19,20,47,381.26,0,0,1,68.63
20,21,50,232.47,30,20,0,41.84
21,21,52,367.74,0,0,0,66.19
22,22,58,380.0,0,0,0,68.4
23,22,59,489.72,0,0,0,88.15
24,22,60,307.72,30,0,0,55.39
25,24,63,304.3,30,0,0,54.77
26,24,65,100.32,30,20,0,18.06
27,25,70,319.35,30,0,0,57.48
28,27,73,312.53,0,20,0,56.26
29,28,76,416.66,0,50,0,75.0
30,28,77,337.78,0,50,0,60.8
31,28,78,205.49,30,20,0,36.99
32,32,82,241.21,30,0,0,43.42
33,33,85,323.75,30,0,0,58.28
34,34,87,215.11,30,20,1,38.72
35,34,88,380.81,0,0,0,68.55
36,35,90,393.92,0,50,0,70.91
37,35,92,340.73,0,20,0,61.33
38,36,94,417.31,0,0,0,75.12
39,37,96,381.39,0,50,0,68.65
40,37,97,296.66,30,0,0,53.4
41,37,99,406.26,0,0,0,73.13
42,38,101,336.01,0,0,0,60.48
43,38,103,289.81,30,0,0,52.17
44,42,110,324.27,0,20,0,58.37
45,42,111,242.53,30,50,0,43.66
46,45,114,324.4,30,0,0,58.39
47,47,122,389.18,0,0,0,70.05
48,48,126,298.52,0,50,0,53.73
49,49,127,282.26,30,0,0,50.81
50,49,128,373.69,0,0,0,67.26
51,49,129,308.76,0,0,0,55.58
52,51,130,448.26,0,20,0,80.69
53,51,132,251.16,30,0,0,45.21
54,51,133,483.77,0,0,0,87.08
55,51,134,234.66,30,20,0,42.24
56,52,136,317.52,0,0,0,57.15
57,52,137,348.09,0,0,0,62.66
58,57,144,309.94,0,0,0,55.79
59,57,145,301.1,30,0,0,54.2
60,58,149,173.92,30,20,0,31.31
61,60,153,312.43,0,0,0,56.24
62,63,159,188.94,30,0,0,34.01
63,63,160,316.47,30,0,0,56.96
64,64,166,258.59,30,50,0,46.55
65,65,168,221.03,30,50,0,39.79
66,65,169,311.34,0,0,0,56.04
67,67,172,326.62,0,0,1,58.79
68,70,178,246.53,30,0,0,44.38
69,75,184,419.36,0,50,0,75.48
70,76,185,354.64,0,20,0,63.84
71,77,188,347.37,0,0,0,62.53
72,79,193,131.61,30,0,0,23.69
73,81,199,202.25,30,0,0,36.4
74,81,201,284.45,30,20,0,51.2
75,82,203,388.08,0,0,0,69.85
76,83,208,209.54,30,50,0,37.72
77,83,209,222.46,30,50,0,40.04
78,83,212,404.07,0,50,0,72.73
79,85,213,300.6,30,0,0,54.11
80,85,214,423.68,0,0,0,76.26
81,85,219,378.28,0,0,0,68.09
82,86,221,382.24,0,0,0,68.8
83,88,223,348.98,0,50,0,62.82
84,93,231,200.34,30,50,0,36.06
85,94,234,208.3,30,0,0,37.49
86,97,239,246.44,30,20,0,44.36
87,99,242,228.48,30,50,0,41.13
88,99,243,316.51,0,20,0,56.97
89,102,247,509.07,0,0,0,91.63
90,102,248,326.01,0,20,0,58.68
91,102,251,324.92,0,20,0,58.49
92,103,253,447.17,0,0,0,80.49
93,106,254,406.85,0,0,0,73.23
94,106,256,222.67,30,50,0,40.08
95,107,257,297.73,0,20,0,53.59
96,109,261,340.55,0,0,0,61.3
97,109,262,264.46,30,20,0,47.6
98,109,263,295.11,0,20,1,53.12
99,110,264,504.14,0,0,0,90.75
100,111,265,80.0,30,0,0,14.4
101,111,266,330.55,0,0,0,59.5
102,112,269,440.57,0,20,0,79.3
103,114,272,311.61,0,20,0,56.09
104,115,281,393.32,0,0,0,70.8
105,115,283,312.99,0,0,0,56.34
106,116,287,265.37,30,0,0,47.77
107,117,290,382.86,0,0,0,68.91
108,118,293,333.28,0,20,0,59.99
109,118,295,316.35,30,0,0,56.94
110,121,298,428.62,0,0,0,77.15
111,121,299,286.88,0,50,0,51.64
112,122,300,430.05,0,0,0,77.41
113,122,301,394.7,0,0,0,71.05
114,124,303,305.11,0,0,0,54.92
115,125,304,338.37,0,20,0,60.91
116,126,309,121.26,30,20,0,21.83
117,127,313,376.36,0,20,0,67.74
118,127,314,324.62,30,0,0,58.43
119,128,317,478.17,0,20,0,86.07
120,130,320,392.47,0,50,0,70.64
121,130,322,175.24,30,50,0,31.54
122,131,328,405.26,0,0,0,72.95
123,131,329,330.08,0,0,0,59.41
124,131,330,221.93,30,20,0,39.95
125,132,333,279.0,30,20,0,50.22
126,133,335,307.07,0,0,0,55.27
127,133,336,63.46,30,50,0,11.42
128,134,337,291.74,0,50,0,52.51
129,137,342,221.83,30,50,0,39.93
130,137,344,339.36,0,20,0,61.08
131,138,352,247.86,30,0,0,44.61
132,138,353,275.68,30,0,0,49.62
133,138,354,216.88,30,0,0,39.04
134,139,357,280.19,30,0,0,50.43
135,139,358,321.41,30,0,0,57.85
136,140,360,444.33,0,0,0,79.98
137,144,367,504.48,0,20,0,90.81
138,144,368,256.07,30,0,0,46.09
139,145,369,354.83,0,50,0,63.87
140,145,370,478.24,0,20,0,86.08
141,146,371,355.74,0,0,0,64.03
142,147,372,255.6,30,50,0,46.01
143,148,376,271.33,30,50,0,48.84
144,149,377,306.09,30,0,0,55.1
145,150,379,276.38,30,0,0,49.75
146,151,382,241.93,30,0,0,43.55
147,152,388,455.2,0,0,0,81.94
148,153,391,271.56,30,0,0,48.88
149,155,394,315.23,0,0,0,56.74
150,156,398,276.42,30,0,0,49.76
151,157,399,377.94,0,0,1,68.03
152,157,400,339.64,0,0,0,61.14
153,157,401,303.76,30,0,0,54.68
154,157,402,344.37,0,0,0,61.99
155,161,408,317.25,0,0,0,57.1
156,165,414,372.16,0,20,0,66.99
157,166,420,330.04,0,0,0,59.41
158,166,421,361.06,0,20,0,64.99
159,166,422,263.52,30,50,0,47.43
