user_id,city,device,user_type,signup_date
1,Delhi,Android,Returning,2025-04-25
2,Mumbai,Android,Returning,2025-10-09
3,Mumbai,Android,New,2025-08-17
4,Chennai,Android,Returning,2025-04-15
5,Pune,Android,Returning,2025-03-31
6,Delhi,Android,Returning,2026-03-09
7,Delhi,iOS,New,2025-01-31
8,Mumbai,Android,New,2025-08-12
9,Pune,Android,Returning,2026-06-02
10,Pune,Android,New,2025-01-28
11,Chennai,Android,New,2025-07-23
12,Mumbai,Android,Returning,2026-03-06
13,Pune,Android,Returning,2026-04-05
14,Delhi,Android,Returning,2025-10-12
15,Chennai,Android,New,2025-06-13
16,Bangalore,Android,New,2026-03-09
17,Mumbai,Android,Returning,2025-10-12
18,Bangalore,iOS,Returning,2025-08-09
19,Delhi,Android,New,2025-04-15
20,Delhi,Android,Returning,2026-01-25
21,Bangalore,Android,Returning,2026-01-03
22,Delhi,Android,Returning,2025-09-28
23,Pune,Android,Returning,2026-04-16
24,Hyderabad,Android,Returning,2025-05-08
25,Pune,Android,New,2025-03-22
26,Chennai,iOS,Returning,2025-10-28
27,Pune,iOS,Returning,2026-01-06
28,Chennai,Android,Returning,2025-07-16
29,Delhi,Android,New,2025-03-13
30,Bangalore,Android,New,2025-08-22
31,Mumbai,Android,New,2025-03-23
32,Hyderabad,iOS,Returning,2025-04-14
33,Hyderabad,Android,Returning,2025-10-12
34,Mumbai,Android,Returning,2026-01-09
35,Bangalore,Android,Returning,2026-01-15
36,Chennai,Android,New,2025-08-03
37,Chennai,Android,Returning,2025-10-01
38,Pune,Android,Returning,2025-03-15
39,Pune,Android,New,2025-06-25
40,Mumbai,Android,New,2025-09-08
41,Hyderabad,iOS,Returning,2026-04-19
42,Chennai,Android,New,2025-10-04
43,Chennai,Android,New,2025-08-13
44,Delhi,Android,Returning,2025-11-29
45,Delhi,iOS,Returning,2025-08-23
46,Hyderabad,Android,Returning,2025-11-20
47,Delhi,Android,Returning,2025-10-02
48,Pune,Android,Returning,2025-08-05
49,Mumbai,Android,Returning,2025-11-19
50,Hyderabad,Android,New,2026-05-27
51,Mumbai,Android,Returning,2026-04-15
52,Mumbai,Android,Returning,2025-09-29
53,Chennai,iOS,New,2025-09-10
54,Chennai,Android,Returning,2025-09-27
55,Pune,Android,New,2026-03-15
56,Bangalore,Android,New,2026-02-13
57,Mumbai,iOS,Returning,2025-08-13
58,Hyderabad,Android,Returning,2026-06-06
59,Delhi,iOS,New,2025-04-04
60,Mumbai,iOS,Returning,2025-04-23
61,Chennai,iOS,Returning,2025-06-13
62,Pune,Android,New,2026-03-09
63,Hyderabad,Android,Returning,2025-03-07
64,Pune,iOS,Returning,2026-01-26
65,Pune,Android,Returning,2026-04-25
66,Pune,Android,New,2025-09-15
67,Chennai,Android,New,2025-01-12
68,Chennai,iOS,New,2025-04-28
69,Chennai,Android,Returning,2025-10-01
70,Delhi,Android,Returning,2025-12-15
71,Hyderabad,iOS,New,2025-10-28
72,Hyderabad,Android,New,2025-06-11
73,Chennai,Android,New,2025-01-04
74,Pune,Android,Returning,2025-09-27
75,Pune,Android,New,2025-07-02
76,Chennai,iOS,New,2025-04-19
77,Chennai,Android,Returning,2025-11-02
78,Pune,iOS,New,2026-06-04
79,Mumbai,Android,Returning,2025-07-23
80,Mumbai,Android,Returning,2026-01-18
81,Pune,Android,Returning,2025-01-01
82,Hyderabad,Android,Returning,2025-11-28
83,Delhi,Android,Returning,2025-01-20
84,Bangalore,Android,New,2026-01-07
85,Delhi,Android,Returning,2025-09-03
86,Pune,Android,New,2025-09-04
87,Delhi,Android,New,2025-03-22
88,Delhi,Android,New,2026-05-13
89,Mumbai,Android,Returning,2025-05-09
90,Pune,iOS,New,2026-05-02
91,Bangalore,Android,New,2025-06-19
92,Pune,iOS,Returning,2026-06-25
93,Mumbai,Android,Returning,2026-03-10
94,Chennai,iOS,Returning,2025-07-25
95,Hyderabad,Android,New,2025-11-16
96,Hyderabad,Android,Returning,2026-01-18
97,Hyderabad,iOS,Returning,2026-06-14
98,Mumbai,Android,New,2025-05-04
99,Delhi,Android,Returning,2025-08-19
100,Delhi,iOS,Returning,2025-12-13
101,Pune,Android,New,2025-08-24
102,Delhi,Android,Returning,2025-08-14
103,Chennai,Android,New,2025-03-14
104,Mumbai,Android,Returning,2025-03-02
105,Delhi,Android,New,2025-03-11
106,Delhi,Android,Returning,2025-12-05
107,Mumbai,Android,New,2026-06-11
108,Chennai,Android,New,2025-10-13
109,Mumbai,Android,Returning,2026-05-13
110,Chennai,Android,Returning,2025-05-16
111,Mumbai,Android,Returning,2026-04-30
112,Hyderabad,Android,Returning,2026-04-30
